Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,Tas,60101,Brighton,Inner regional,Other Allied Health,NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,Podiatry,3.95,11.42,$606 
2017-18,Tas,60101,Brighton,Inner regional,Speech Pathology,0.14,0.37,$25 
2017-18,Tas,60101,Brighton,Inner regional,Allied Health subtotal - Physical Health Care,2.44,7.27,$391 
2017-18,Tas,60101,Brighton,Inner regional,Chiropractic Services,0.15,0.53,$28 
2017-18,Tas,60101,Brighton,Inner regional,Exercise Physiology,0.73,1.74,$92 
2017-18,Tas,60101,Brighton,Inner regional,Osteopathy,0.14,0.43,$23 
2017-18,Tas,60101,Brighton,Inner regional,Physiotherapy,1.56,4.56,$247 
2017-18,Tas,60101,Brighton,Inner regional,Allied Health attendances (total),22.26,45.82,"$3,327 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health attendances (total),26.74,57.7,"$4,333 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health attendances (total),47.36,95.19,"$5,813 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health attendances (total),67.52,173.91,"$9,259 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health attendances (total),35.16,76.86,"$4,932 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health attendances (total),41.88,93.01,"$6,011 "
2017-18,Tas,60101,Brighton,Inner regional,Allied Health attendances (total),28.53,60.92,"$3,867 "
2017-18,Tas,60101,Brighton,Inner regional,Diagnostic Imaging (total),19.83,36,"$3,372 "
2017-18,Tas,60101,Brighton,Inner regional,Diagnostic Imaging (total),35.5,83.34,"$9,336 "
2017-18,Tas,60101,Brighton,Inner regional,Diagnostic Imaging (total),46.71,123.62,"$17,196 "
2017-18,Tas,60101,Brighton,Inner regional,Diagnostic Imaging (total),62.97,208.02,"$32,201 "
2017-18,Tas,60101,Brighton,Inner regional,Diagnostic Imaging (total),35.82,91.05,"$11,875 "
2017-18,Tas,60101,Brighton,Inner regional,Diagnostic Imaging (total),42.99,117.35,"$14,206 "
2017-18,Tas,60101,Brighton,Inner regional,Diagnostic Imaging (total),28.75,65.09,"$9,574 "
2017-18,Tas,60101,Brighton,Inner regional,GP After-hours (non-urgent),13.02,19.46,"$1,117 "
2017-18,Tas,60101,Brighton,Inner regional,GP After-hours (urgent),5.29,7.02,$876 
2017-18,Tas,60101,Brighton,Inner regional,GP subtotal - After-hours,16.45,26.48,"$1,992 "
2017-18,Tas,60101,Brighton,Inner regional,GP Chronic Disease Management Plan,12.52,31.4,"$3,388 "
2017-18,Tas,60101,Brighton,Inner regional,GP Health Assessment,4.63,4.69,$977 
2017-18,Tas,60101,Brighton,Inner regional,GP Mental Health,8.33,13.09,"$1,055 "
2017-18,Tas,60101,Brighton,Inner regional,GP Multidisciplinary Case Conference,0.15,0.21,$19 
2017-18,Tas,60101,Brighton,Inner regional,GP subtotal - Enhanced Primary Care,21.24,50.11,"$5,533 "
2017-18,Tas,60101,Brighton,Inner regional,Medication Management Review (domiciliary),0.37,0.37,$57 
2017-18,Tas,60101,Brighton,Inner regional,Medication Management Review (residential),0.34,0.35,$37 
2017-18,Tas,60101,Brighton,Inner regional,GP Acupuncture,0.3,1.66,$84 
2017-18,Tas,60101,Brighton,Inner regional,GP Long (Level C),33.49,68.52,"$4,957 "
2017-18,Tas,60101,Brighton,Inner regional,GP Focussed Psychological Strategies and Family Group Therapy,NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,GP Prolonged - Imminent danger of death,0.12,0.12,$27 
2017-18,Tas,60101,Brighton,Inner regional,GP Prolonged (Level D),4.27,6.02,$642 
2017-18,Tas,60101,Brighton,Inner regional,GP Short (Level A),9.75,12.37,$212 
2017-18,Tas,60101,Brighton,Inner regional,GP Standard (Level B),83.38,380.7,"$14,258 "
2017-18,Tas,60101,Brighton,Inner regional,GP subtotal - Other,87.34,478.63,"$20,429 "
2017-18,Tas,60101,Brighton,Inner regional,GP Telehealth (patient-end),NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,Other Non-referred Medical Practitioner,4.11,8.95,$217 
2017-18,Tas,60101,Brighton,Inner regional,Asthma Cycle of Care PIP,0.32,0.31,$15 
2017-18,Tas,60101,Brighton,Inner regional,Cervical Smear PIP,0.31,0.31,$17 
2017-18,Tas,60101,Brighton,Inner regional,Diabetes Mellitus Annual Cycle of Care PIP,1.32,1.33,$72 
2017-18,Tas,60101,Brighton,Inner regional,GP subtotal - PIP,1.92,1.95,$104 
2017-18,Tas,60101,Brighton,Inner regional,GP attendances (total),81.57,379.54,"$18,186 "
2017-18,Tas,60101,Brighton,Inner regional,GP attendances (total),85.58,469.95,"$22,994 "
2017-18,Tas,60101,Brighton,Inner regional,GP attendances (total),95.05,631.83,"$31,725 "
2017-18,Tas,60101,Brighton,Inner regional,GP attendances (total),100,"1,124.74","$61,005 "
2017-18,Tas,60101,Brighton,Inner regional,GP attendances (total),89.33,557.17,"$28,059 "
2017-18,Tas,60101,Brighton,Inner regional,GP attendances (total),95.33,664.2,"$33,590 "
2017-18,Tas,60101,Brighton,Inner regional,GP attendances (total),83.4,451.53,"$22,599 "
2017-18,Tas,60101,Brighton,Inner regional,Midwifery,NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,Nurse Practitioners,NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,Practice Nurse/Aboriginal Health Worker,5.84,8.93,$112 
2017-18,Tas,60101,Brighton,Inner regional,Nursing and Aboriginal Health Workers (total),1.59,2.56,$80 
2017-18,Tas,60101,Brighton,Inner regional,Nursing and Aboriginal Health Workers (total),3.52,8.27,$303 
2017-18,Tas,60101,Brighton,Inner regional,Nursing and Aboriginal Health Workers (total),8.52,14.3,$313 
2017-18,Tas,60101,Brighton,Inner regional,Nursing and Aboriginal Health Workers (total),26.54,63.53,"$1,154 "
2017-18,Tas,60101,Brighton,Inner regional,Nursing and Aboriginal Health Workers (total),6.88,14.49,$328 
2017-18,Tas,60101,Brighton,Inner regional,Nursing and Aboriginal Health Workers (total),8.29,17.28,$403 
2017-18,Tas,60101,Brighton,Inner regional,Nursing and Aboriginal Health Workers (total),5.49,11.73,$255 
2017-18,Tas,60101,Brighton,Inner regional,Early Intervention Services for Children,NP,NP,NP
2017-18,Tas,60101,Brighton,Inner regional,Psychiatry,1.23,4.32,$541 
2017-18,Tas,60101,Brighton,Inner regional,Specialist attendances (total),17.98,41.82,"$3,766 "
2017-18,Tas,60101,Brighton,Inner regional,Specialist attendances (total),23.7,60.82,"$4,582 "
2017-18,Tas,60101,Brighton,Inner regional,Specialist attendances (total),37.36,106.11,"$7,447 "
2017-18,Tas,60101,Brighton,Inner regional,Specialist attendances (total),62.02,221.48,"$15,547 "
2017-18,Tas,60101,Brighton,Inner regional,Specialist attendances (total),29.66,84.76,"$6,340 "
2017-18,Tas,60101,Brighton,Inner regional,Specialist attendances (total),33.34,95.5,"$7,041 "
2017-18,Tas,60101,Brighton,Inner regional,Specialist attendances (total),26.03,74.15,"$5,647 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health subtotal - Mental Health Care,6.58,29.13,"$3,323 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Clinical Psychologist,4.69,20.72,2601
2017-18,Tas,60102,Hobart - North East,Inner regional,Other Allied Mental Health,0.18,0.65,$52 
2017-18,Tas,60102,Hobart - North East,Inner regional,Other Psychologist,2.12,7.76,$671 
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health subtotal - Optometry,35.29,46.16,"$2,140 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health subtotal - Other,5.03,14.56,$789 
2017-18,Tas,60102,Hobart - North East,Inner regional,Audiology,NP,NP,NP
2017-18,Tas,60102,Hobart - North East,Inner regional,Diabetes Education,0.47,0.83,$44 
2017-18,Tas,60102,Hobart - North East,Inner regional,Dietetics,0.9,1.64,$89 
2017-18,Tas,60102,Hobart - North East,Inner regional,Occupational Therapy,0.08,0.17,$10 
2017-18,Tas,60102,Hobart - North East,Inner regional,Other Allied Health,NP,NP,NP
2017-18,Tas,60102,Hobart - North East,Inner regional,Podiatry,3.73,11.33,$610 
2017-18,Tas,60102,Hobart - North East,Inner regional,Speech Pathology,0.12,0.47,$28 
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health subtotal - Physical Health Care,3.66,11.73,$618 
2017-18,Tas,60102,Hobart - North East,Inner regional,Chiropractic Services,0.14,0.54,$29 
2017-18,Tas,60102,Hobart - North East,Inner regional,Exercise Physiology,1,2.85,$141 
2017-18,Tas,60102,Hobart - North East,Inner regional,Osteopathy,0.22,0.69,$37 
2017-18,Tas,60102,Hobart - North East,Inner regional,Physiotherapy,2.47,7.65,$411 
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health attendances (total),26.26,62.37,"$4,990 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health attendances (total),32.31,79.36,"$6,554 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health attendances (total),51.01,109.41,"$7,195 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health attendances (total),66.37,177.15,"$9,642 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health attendances (total),42.19,101.58,"$6,871 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health attendances (total),50.09,126.42,"$8,598 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Allied Health attendances (total),34.18,76.37,"$5,117 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Diagnostic Imaging (total),21.51,38.12,"$3,430 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Diagnostic Imaging (total),35.42,82.12,"$9,165 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Diagnostic Imaging (total),43.45,113.39,"$15,968 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Diagnostic Imaging (total),58.62,191.79,"$29,209 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Diagnostic Imaging (total),38.01,99.02,"$13,224 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Diagnostic Imaging (total),44.77,124.2,"$15,433 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Diagnostic Imaging (total),31.15,73.47,"$10,982 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP After-hours (non-urgent),10.9,16.83,"$1,007 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP After-hours (urgent),4.8,6.18,$788 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP subtotal - After-hours,14.34,23.01,"$1,795 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Chronic Disease Management Plan,12.29,30.54,"$3,234 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Health Assessment,3.92,3.96,$912 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Mental Health,8.55,13.31,"$1,109 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Multidisciplinary Case Conference,0.09,0.12,$14 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP subtotal - Enhanced Primary Care,20.79,48.63,"$5,357 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Medication Management Review (domiciliary),0.29,0.29,$45 
2017-18,Tas,60102,Hobart - North East,Inner regional,Medication Management Review (residential),0.39,0.4,$42 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Acupuncture,0.76,5.05,$270 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Long (Level C),43.2,92.85,"$6,824 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Focussed Psychological Strategies and Family Group Therapy,NP,NP,NP
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Prolonged - Imminent danger of death,NP,NP,NP
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Prolonged (Level D),5.58,8.12,$881 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Short (Level A),15.22,18.51,$319 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Standard (Level B),84.26,367.26,"$14,010 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP subtotal - Other,89.81,504.54,"$22,683 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP Telehealth (patient-end),NP,NP,NP
2017-18,Tas,60102,Hobart - North East,Inner regional,Other Non-referred Medical Practitioner,4.53,12.59,$358 
2017-18,Tas,60102,Hobart - North East,Inner regional,Asthma Cycle of Care PIP,0.16,0.16,$8 
2017-18,Tas,60102,Hobart - North East,Inner regional,Cervical Smear PIP,0.21,0.21,$13 
2017-18,Tas,60102,Hobart - North East,Inner regional,Diabetes Mellitus Annual Cycle of Care PIP,1.12,1.12,$67 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP subtotal - PIP,1.48,1.49,$89 
2017-18,Tas,60102,Hobart - North East,Inner regional,GP attendances (total),87.34,393.22,"$18,851 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP attendances (total),87.77,456.91,"$22,807 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP attendances (total),92.08,562.98,"$28,409 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP attendances (total),100,"1,022.48","$57,309 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP attendances (total),91.24,577.67,"$29,923 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP attendances (total),97.49,679.25,"$35,468 "
2017-18,Tas,60102,Hobart - North East,Inner regional,GP attendances (total),84.89,474.57,"$24,295 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Midwifery,0.17,0.55,$36 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nurse Practitioners,2.3,7.42,$276 
2017-18,Tas,60102,Hobart - North East,Inner regional,Practice Nurse/Aboriginal Health Worker,4.67,6.77,$84 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nursing and Aboriginal Health Workers (total),2.18,4.03,$127 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nursing and Aboriginal Health Workers (total),4.42,12.2,$481 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nursing and Aboriginal Health Workers (total),5.98,13.5,$371 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nursing and Aboriginal Health Workers (total),16.91,35.64,$728 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nursing and Aboriginal Health Workers (total),6.63,14.75,$396 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nursing and Aboriginal Health Workers (total),7.78,17.96,$507 
2017-18,Tas,60102,Hobart - North East,Inner regional,Nursing and Aboriginal Health Workers (total),5.47,11.49,$283 
2017-18,Tas,60102,Hobart - North East,Inner regional,Early Intervention Services for Children,0.07,0.07,$15 
2017-18,Tas,60102,Hobart - North East,Inner regional,Psychiatry,1.65,6.96,$866 
2017-18,Tas,60102,Hobart - North East,Inner regional,Specialist attendances (total),21.04,52.82,"$4,790 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Specialist attendances (total),29.91,80.44,"$6,168 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Specialist attendances (total),39.49,121.3,"$8,545 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Specialist attendances (total),64.1,245.14,"$16,963 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Specialist attendances (total),36.57,115.57,"$8,518 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Specialist attendances (total),41.25,130.46,"$9,637 "
2017-18,Tas,60102,Hobart - North East,Inner regional,Specialist attendances (total),31.81,100.46,"$7,383 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health subtotal - Mental Health Care,5.82,25.07,"$2,812 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Clinical Psychologist,3.78,16.69,2088
2017-18,Tas,60103,Hobart - North West,Inner regional,Other Allied Mental Health,0.17,0.5,$40 
2017-18,Tas,60103,Hobart - North West,Inner regional,Other Psychologist,2.17,7.88,$684 
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health subtotal - Optometry,30.46,39.82,"$1,853 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health subtotal - Other,6.12,19.19,"$1,022 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Audiology,NP,NP,NP
2017-18,Tas,60103,Hobart - North West,Inner regional,Diabetes Education,0.47,0.86,$46 
2017-18,Tas,60103,Hobart - North West,Inner regional,Dietetics,0.69,1.23,$65 
2017-18,Tas,60103,Hobart - North West,Inner regional,Occupational Therapy,0.06,0.13,$9 
2017-18,Tas,60103,Hobart - North West,Inner regional,Other Allied Health,NP,NP,NP
2017-18,Tas,60103,Hobart - North West,Inner regional,Podiatry,5.16,16.7,$887 
2017-18,Tas,60103,Hobart - North West,Inner regional,Speech Pathology,0.07,0.22,$15 
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health subtotal - Physical Health Care,2.68,7.79,$411 
2017-18,Tas,60103,Hobart - North West,Inner regional,Chiropractic Services,0.14,0.5,$26 
2017-18,Tas,60103,Hobart - North West,Inner regional,Exercise Physiology,0.8,1.9,$96 
2017-18,Tas,60103,Hobart - North West,Inner regional,Osteopathy,0.15,0.53,$28 
2017-18,Tas,60103,Hobart - North West,Inner regional,Physiotherapy,1.72,4.86,$260 
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health attendances (total),24.02,54.36,"$4,232 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health attendances (total),28.68,70.08,"$5,701 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health attendances (total),45.47,100.49,"$6,481 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health attendances (total),63.22,176.75,"$9,399 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health attendances (total),37.64,91.87,"$6,098 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health attendances (total),44.76,113.64,"$7,679 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Allied Health attendances (total),30.45,69.87,"$4,501 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Diagnostic Imaging (total),19.97,34.51,"$3,220 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Diagnostic Imaging (total),34.94,79.63,"$9,070 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Diagnostic Imaging (total),43.29,115.55,"$16,360 "
2017-18,Tas,60103,Hobart - North West,Inner regional,Diagnostic Imaging (total),56.86,185.8,"$29,192 "
